route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
10__ML1___,10_I12,10_I12-510_2023I12_14:00:00_2_48_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_14:09:00_1_49_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_14:09:00_2_49_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_14:18:00_1_50_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_14:18:00_2_50_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_14:27:00_1_51_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_14:27:00_2_51_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_14:36:00_1_52_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_14:36:00_2_52_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_14:45:00_1_53_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_14:45:00_2_53_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_14:54:00_1_54_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_14:54:00_2_54_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_15:03:00_1_55_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_15:03:00_2_55_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_15:12:00_1_56_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_15:12:00_2_56_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_15:21:00_1_57_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_15:21:00_2_57_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_15:30:00_1_58_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_15:30:00_2_58_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_15:39:00_1_59_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_15:39:00_2_59_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_15:48:00_1_60_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_15:48:00_2_60_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_15:57:00_1_61_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_15:57:00_2_61_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_16:06:00_1_62_10__51___,LAS TABLAS,PINAR DE CHAMARTIN-LAS TABLAS,0,,10__51____1__IT_1,1
10__ML1___,10_I12,10_I12-510_2023I12_16:06:00_2_62_10__51___,PINAR DE CHAMARTIN,LAS TABLAS-PINAR DE CHAMARTIN,1,,10__51____2__IT_1,1
